sid,timepoint,factor,semipartial correlation
2,125,Overlap Process,0.016670314403541688
2,175,Overlap Process,0.11529061100035713
2,225,Overlap Process,0.05945212800070032
2,275,Overlap Process,-0.021424309842429136
2,325,Overlap Process,0.26252153892895497
2,375,Overlap Process,0.13005867929540474
2,425,Overlap Process,0.16913155110015285
2,475,Overlap Process,0.05218328790719356
2,525,Overlap Process,0.044968556013291416
2,575,Overlap Process,-0.08311785584049809
2,625,Overlap Process,-0.060517286284652826
2,675,Overlap Process,0.10553891659023516
2,725,Overlap Process,0.12230120565696437
2,775,Overlap Process,0.03793350790013088
2,825,Overlap Process,0.07915531742482941
2,875,Overlap Process,0.07661750803130463
2,925,Overlap Process,0.05002280469393094
2,975,Overlap Process,0.009202137908316258
2,1025,Overlap Process,0.017177739325838107
2,1075,Overlap Process,-0.09546315072592278
2,1125,Overlap Process,-0.0447700218998531
2,1175,Overlap Process,-0.022206556682579693
2,1225,Overlap Process,-0.05496654083417497
2,-225,Attended Area,-0.1642107932345698
2,-175,Attended Area,0.19030076454653397
2,-125,Attended Area,0.2894356787337421
2,-75,Attended Area,0.3150081585419321
2,-25,Attended Area,0.018419506194853483
2,25,Attended Area,-0.057447380459612174
2,75,Attended Area,-0.04167884013002758
2,125,Attended Area,0.07975375119018795
2,175,Attended Area,0.44742010543695365
2,225,Attended Area,0.29371417910635916
2,275,Attended Area,-0.12258835660596137
2,325,Attended Area,0.27516660522661307
2,375,Attended Area,0.2812031139053824
2,425,Attended Area,0.38934734636609036
2,475,Attended Area,0.3566284276508757
2,525,Attended Area,0.20035359020445737
2,575,Attended Area,0.1629508053465769
2,625,Attended Area,-0.12321171475563858
2,675,Attended Area,-0.19051348231376206
2,725,Attended Area,-0.24230108676566878
2,775,Attended Area,-0.1941744011839533
2,825,Attended Area,-0.12459854226649375
2,875,Attended Area,-0.20409561429517054
2,925,Attended Area,-0.19973156383085244
2,975,Attended Area,-0.14518500736707318
2,1025,Attended Area,-0.22343758729229676
2,1075,Attended Area,-0.16809351218079724
2,1125,Attended Area,-0.1483569742474306
2,1175,Attended Area,0.130091561325674
2,1225,Attended Area,0.031691161004082445
2,-225,Total,0.478026561204587
2,-175,Total,0.3013636620326459
2,-125,Total,0.4084281914818334
2,-75,Total,0.4428452865078842
2,-25,Total,0.3519644338142018
2,25,Total,0.335034147651766
2,75,Total,0.07755907932860509
2,125,Total,0.08972395624147639
2,175,Total,0.45528981200794877
2,225,Total,0.3151352001901413
2,275,Total,0.20330012742008544
2,325,Total,0.4633064514299016
2,375,Total,0.46019124250285265
2,425,Total,0.4094952852099394
2,475,Total,0.4352972692275406
2,525,Total,0.5147269849600747
2,575,Total,0.425102449125539
2,625,Total,0.33093311395200686
2,675,Total,0.3144411283056267
2,725,Total,0.3538290033405525
2,775,Total,0.3425838916127322
2,825,Total,0.3145434618383816
2,875,Total,0.32466827598963754
2,925,Total,0.3562598134707235
2,975,Total,0.2310236502128396
2,1025,Total,0.25415859167430394
2,1075,Total,0.23783819536934686
2,1125,Total,0.25690559090400517
2,1175,Total,0.22026736862465307
2,1225,Total,0.4486519909001037
3,-225,Set Size,0.24364235115691021
3,-175,Set Size,-0.022880703590839904
3,-125,Set Size,0.24151366162652046
3,-75,Set Size,0.11543133512358833
3,-25,Set Size,0.15685011955524114
3,25,Set Size,-0.03930092087088584
3,75,Set Size,-0.049944638457663115
3,125,Set Size,0.25127506202690214
3,175,Set Size,0.029370713833958107
3,225,Set Size,0.08429825354634665
3,275,Set Size,0.2306016842410149
3,325,Set Size,0.11903954300027236
3,375,Set Size,0.10404257067033594
3,425,Set Size,0.1132796357162553
3,475,Set Size,0.11889452554869132
3,525,Set Size,-0.05965557973438691
3,575,Set Size,0.09211152256542623
3,625,Set Size,0.09665396340350951
3,675,Set Size,0.26083859805973864
3,725,Set Size,0.3605969890123479
3,775,Set Size,0.4030516937147068
3,825,Set Size,0.6522952504497591
3,875,Set Size,0.3722107965560517
3,925,Set Size,0.34829198851926857
3,975,Set Size,0.24108739242378702
3,1025,Set Size,0.4628943560108051
3,1075,Set Size,0.2591538352632744
3,1125,Set Size,0.3426472675485841
3,1175,Set Size,0.2688911730031239
3,1225,Set Size,0.43225852687918037
3,-225,Number of Locations,0.09989763510983261
3,-175,Number of Locations,0.052121507983217095
3,-125,Number of Locations,0.19590673525956018
3,-75,Number of Locations,0.00448484550843209
3,-25,Number of Locations,-0.015229859518211071
3,25,Number of Locations,-0.009389677382617923
3,75,Number of Locations,-0.28747996067607245
3,125,Number of Locations,0.0741936850356577
3,175,Number of Locations,-0.010702918634672067
3,225,Number of Locations,-0.18226806816083407
3,275,Number of Locations,-0.2803188033940558
3,325,Number of Locations,-0.298571185139139
3,375,Number of Locations,-0.07519604658280489
3,425,Number of Locations,0.1774951236245767
3,475,Number of Locations,-0.08058476625259721
3,525,Number of Locations,-0.1666872806543047
3,575,Number of Locations,-0.00913591322982527
3,625,Number of Locations,-0.23975064386592485
3,675,Number of Locations,-0.15292220657512706
3,725,Number of Locations,-0.1004118415735715
3,775,Number of Locations,-0.046411430101130864
3,825,Number of Locations,0.022433225918911708
3,875,Number of Locations,-0.16233715950560743
3,925,Number of Locations,-0.24743342253039727
3,975,Number of Locations,-0.34009281952325887
3,1025,Number of Locations,-0.2301892495223988
3,1075,Number of Locations,-0.07477365223319958
3,1125,Number of Locations,-0.06700277420580812
3,1175,Number of Locations,-0.11192662083016361
3,1225,Number of Locations,-0.07497431540929962
3,-225,Overlap Process,-0.06185863406747589
3,-175,Overlap Process,0.17130203084115808
3,-125,Overlap Process,-0.214599137044174
3,-75,Overlap Process,0.24347881500961452
3,-25,Overlap Process,-0.026533915178182568
3,25,Overlap Process,-0.07105068436774994
3,75,Overlap Process,0.17358733995045147
3,125,Overlap Process,0.11931228482891537
3,175,Overlap Process,0.1746251141300592
3,225,Overlap Process,0.09540807935411962
3,275,Overlap Process,0.3489796486616818
3,325,Overlap Process,0.4797537742257959
3,375,Overlap Process,0.29330196119011587
3,425,Overlap Process,0.329686547372118
3,475,Overlap Process,0.5033580336932933
3,525,Overlap Process,0.5649720978656603
3,575,Overlap Process,0.38027470523907797
3,625,Overlap Process,0.599266337721398
3,675,Overlap Process,0.48158472399544083
3,725,Overlap Process,0.44332197548271957
3,775,Overlap Process,0.25894970155299796
3,825,Overlap Process,0.45054924626167026
3,875,Overlap Process,0.4804556863763943
3,925,Overlap Process,0.5071329112051443
3,975,Overlap Process,0.37399675630865736
3,1025,Overlap Process,0.45066855172352116
3,1075,Overlap Process,0.20672259415360497
3,1125,Overlap Process,0.14615701416302604
3,1175,Overlap Process,0.37238322641382704
3,1225,Overlap Process,0.4653359467773205
3,-225,Attended Area,-0.12742178792536338
3,-175,Attended Area,-0.12741589388558713
3,-125,Attended Area,0.13196245025028122
3,-75,Attended Area,0.3144988950768243
3,-25,Attended Area,-0.07506474851851504
3,25,Attended Area,0.3768080841326133
3,75,Attended Area,0.3617103324288714
